Name,Locality,Popularity,Price,Rating,Bike_Station_Coordinates,bikes,Place_Type
Bombay Darbar,Miami,0.977682358,2.0,9.0,"25.729275,-80.241581",3,Restaurant
Jaguar Ceviche Spoon Bar,Miami,0.972999717,2.0,8.6,"25.729275,-80.241581",3,Restaurant
Le Pain Quotidien,Miami,0.952608142,1.0,8.6,"25.729275,-80.241581",3,Café
Harry's Pizzeria,Coconut Grove,0.953314956,2.0,8.4,"25.729275,-80.241581",3,Restaurant
Le Bouchon Du Grove,Coconut Grove,0.94264207,3.0,8.5,"25.729275,-80.241581",3,Restaurant
The Last Carrot,Miami,0.967839977,1.0,8.5,"25.729275,-80.241581",3,Restaurant
Greenstreet Cafe,Coconut Grove,0.986994628,2.0,8.9,"25.729275,-80.241581",3,Restaurant
Lokal Burgers & Beer,Miami,0.958474696,2.0,9.0,"25.729275,-80.241581",3,Restaurant
Panther Coffee,Miami,0.962008764,2.0,8.2,"25.729275,-80.241581",3,Café
Starbucks,Coconut Grove,0.987524738,1.0,8.7,"25.732522,-80.233244",3,Café
Monty's Stone Crab,Coconut Grove,0.990882103,2.0,8.5,"25.732522,-80.233244",3,Restaurant
Flanigan's Seafood Bar & Grill,Coconut Grove,0.996819338,2.0,9.0,"25.732522,-80.233244",3,Bar
Happy Wine In The Grov,Miami,0.974572378,2.0,9.0,"25.732522,-80.233244",3,Bar
Bombay Darbar,Miami,0.977682358,2.0,9.0,"25.732522,-80.233244",3,Restaurant
Berries,Miami,0.978336161,2.0,8.8,"25.732522,-80.233244",3,Restaurant
Sushi Maki,Miami,0.895851004,2.0,7.2,"25.732522,-80.233244",3,Restaurant
Peacock Garden Event Venues,Miami,0.955806474,3.0,8.3,"25.732522,-80.233244",3,Restaurant
Kush Coconut Grove,Coconut Grove,0.918857789,2.0,7.8,"25.732522,-80.233244",3,Restaurant
Bocas Grill Brickell,Miami Financial District,0.983637263,2.0,8.7,"25.7511,-80.202641",4,Bar
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.760082,-80.196217",2,Restaurant
PM Fish & Steak House,Miami,0.967592593,4.0,9.0,"25.760082,-80.196217",2,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.760082,-80.196217",2,Restaurant
Tutto Pizza,Miami,0.919387899,1.0,8.6,"25.760082,-80.196217",2,Restaurant
Novecento,Miami,0.969660023,2.0,8.4,"25.760082,-80.196217",2,Restaurant
Piola Miami Brickell,Miami,0.982594713,2.0,8.3,"25.760082,-80.196217",2,Restaurant
My Ceviche,Miami,0.943949675,2.0,8.3,"25.760082,-80.196217",2,Restaurant
LPM Restaurant & Bar,Miami,0.980650975,4.0,9.0,"25.760082,-80.196217",2,Restaurant
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.761884,-80.193101",1,Restaurant
My Ceviche,Miami,0.943949675,2.0,8.3,"25.761884,-80.193101",1,Restaurant
Piola Miami Brickell,Miami,0.982594713,2.0,8.3,"25.761884,-80.193101",1,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.761884,-80.193101",1,Restaurant
Baires Grill Brickell,Miami,0.977841391,4.0,8.6,"25.761884,-80.193101",1,Restaurant
LPM Restaurant & Bar,Miami,0.980650975,4.0,9.0,"25.761884,-80.193101",1,Restaurant
PM Fish & Steak House,Miami,0.967592593,4.0,9.0,"25.761884,-80.193101",1,Restaurant
Fi'lia,Miami,0.981163415,4.0,8.0,"25.761884,-80.193101",1,Restaurant
Novecento,Miami,0.969660023,2.0,8.4,"25.761884,-80.193101",1,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.768483,-80.190547",3,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.768483,-80.190547",3,Restaurant
B Bistro + Bakery,Miami,0.977965083,1.0,8.9,"25.768483,-80.190547",3,Bakery
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.768483,-80.190547",3,Restaurant
Truluck's,Miami,0.986729573,4.0,8.9,"25.768483,-80.190547",3,Restaurant
Sugar,Miami,0.996465932,2.0,9.1,"25.768483,-80.190547",3,Bar
Cipriani Miami Downtow,Miami,0.98604043,4.0,8.7,"25.768483,-80.190547",3,Restaurant
Cantina La Veinte,Miami,0.983743285,3.0,8.5,"25.768483,-80.190547",3,Restaurant
Casa Tua Cucina,Miami,0.993408962,2.0,9.0,"25.768483,-80.190547",3,Bar
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.761522,-80.1967748",4,Restaurant
PM Fish & Steak House,Miami,0.967592593,4.0,9.0,"25.761522,-80.1967748",4,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.761522,-80.1967748",4,Restaurant
Tutto Pizza,Miami,0.919387899,1.0,8.6,"25.761522,-80.1967748",4,Restaurant
Baires Grill Brickell,Miami,0.977841391,4.0,8.6,"25.761522,-80.1967748",4,Restaurant
North Italia,Miami,0.978901612,3.0,8.6,"25.761522,-80.1967748",4,Restaurant
Piola Miami Brickell,Miami,0.982594713,2.0,8.3,"25.761522,-80.1967748",4,Restaurant
Stanzione 87,Miami,0.956442607,2.0,8.8,"25.761522,-80.1967748",4,Restaurant
LPM Restaurant & Bar,Miami,0.980650975,4.0,9.0,"25.7604,-80.19186",0,Restaurant
Novecento,Miami,0.969660023,2.0,8.4,"25.7604,-80.19186",0,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.7604,-80.19186",0,Restaurant
PM Fish & Steak House,Miami,0.967592593,4.0,9.0,"25.7604,-80.19186",0,Restaurant
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.7604,-80.19186",0,Restaurant
La Estacion Cafe,Miami,0.955364716,1.0,8.1,"25.7604,-80.19186",0,Café
Crazy About You Restaurant,Miami,0.980668646,2.0,8.6,"25.7604,-80.19186",0,Restaurant
My Ceviche,Miami,0.943949675,2.0,8.3,"25.7604,-80.19186",0,Restaurant
Piola Miami Brickell,Miami,0.982594713,2.0,8.3,"25.7604,-80.19186",0,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.7603626,-80.1936702",2,Restaurant
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.7603626,-80.1936702",2,Restaurant
PM Fish & Steak House,Miami,0.967592593,4.0,9.0,"25.7603626,-80.1936702",2,Restaurant
Novecento,Miami,0.969660023,2.0,8.4,"25.7603626,-80.1936702",2,Restaurant
LPM Restaurant & Bar,Miami,0.980650975,4.0,9.0,"25.7603626,-80.1936702",2,Restaurant
My Ceviche,Miami,0.943949675,2.0,8.3,"25.7603626,-80.1936702",2,Restaurant
La Estacion Cafe,Miami,0.955364716,1.0,8.1,"25.7603626,-80.1936702",2,Café
Piola Miami Brickell,Miami,0.982594713,2.0,8.3,"25.7603626,-80.1936702",2,Restaurant
Stanzione 87,Miami,0.956442607,2.0,8.8,"25.767414,-80.199166",4,Restaurant
Casa Tua Cucina,Miami,0.993408962,2.0,9.0,"25.767414,-80.199166",4,Bar
Blackbird Ordinary,Miami,0.989503817,2.0,8.6,"25.767414,-80.199166",4,Bar
Sugar,Miami,0.996465932,2.0,9.1,"25.767414,-80.199166",4,Bar
La Sandwicherie,Miami,0.991376873,1.0,8.6,"25.767414,-80.199166",4,Restaurant
