name,review_count,rating,price,distance,category_1,category_2,category_3,yelp_bike_station_coordinates,bikes
Asian Thai Kitchen,237,4.0,2,280.0482582434025,Food Delivery Services,Thai,Thai,"25.729275,-80.241581",3
Loretta & The Butcher,224,4.5,3,343.3985048998288,Argentine,Breakfast & Brunch,Breakfast & Brunch,"25.729275,-80.241581",3
Fireman Derek’s Bake Shop,254,4.5,2,257.37049040741374,Desserts,Bakeries,Bakeries,"25.729275,-80.241581",3
Le Pain Quotidien,237,4.0,2,237.89885093636397,Cafes,Bakeries,Bakeries,"25.729275,-80.241581",3
Salt and Straw,160,4.5,2,115.21916941862362,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.729275,-80.241581",3
Morelia Ice Cream Paletas - Coconut Grove,44,5.0,1,257.71287453235595,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.729275,-80.241581",3
The Last Carrot,302,4.0,2,260.38800306376504,Vegetarian,Juice Bars & Smoothies,Juice Bars & Smoothies,"25.729275,-80.241581",3
Bianco Gelato,288,4.5,2,334.8115888077702,Gelato,Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt,"25.729275,-80.241581",3
Panther Coffee,227,4.0,2,194.89183300423247,Coffee & Tea,Coffee Roasteries,Coffee Roasteries,"25.729275,-80.241581",3
Oasis Lounge and Hookah Bar,126,3.0,2,177.8447951370133,Hookah Bars,"Beer, Wine & Spirits","Beer, Wine & Spirits","25.729275,-80.241581",3
Juicense,137,3.5,2,175.87858299429428,Juice Bars & Smoothies,Organic Stores,Organic Stores,"25.729275,-80.241581",3
Coconut Grove Saturday Organic Market,168,4.0,2,552.3507177980675,Farmers Market,Vegan,Vegan,"25.729275,-80.241581",3
Suite Habana Cafe,203,5.0,2,9336.798391574086,Coffee & Tea,Bakeries,Bakeries,"25.729275,-80.241581",3
Nacho Bizness,135,4.5,1,15237.581061121671,Food Trucks,Tacos,Tacos,"25.729275,-80.241581",3
Santo Dulce Churros,202,4.5,2,9873.560334270176,Desserts,Food Trucks,Food Trucks,"25.729275,-80.241581",3
Walt Grace Vintage,72,5.0,4,8968.471486814966,Guitar Stores,Car Dealers,Car Dealers,"25.729275,-80.241581",3
Milam's Market,123,4.0,2,885.2403109842379,Grocery,,,"25.729275,-80.241581",3
Wynwood Art Walk Block Party,84,4.5,1,8804.460652688625,Art Galleries,Food Trucks,Food Trucks,"25.729275,-80.241581",3
Ceviche Bowl,33,5.0,2,18468.24472683102,Food Trucks,Seafood,Seafood,"25.729275,-80.241581",3
The Fresh Market,196,3.5,3,706.479453676596,Specialty Food,Grocery,Grocery,"25.729275,-80.241581",3
Asian Thai Kitchen,237,4.0,2,1188.9237994625933,Food Delivery Services,Thai,Thai,"25.732522,-80.233244",3
Salt and Straw,160,4.5,2,973.6227307558484,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.732522,-80.233244",3
Fireman Derek’s Bake Shop,254,4.5,2,1130.3258951631697,Desserts,Bakeries,Bakeries,"25.732522,-80.233244",3
Morelia Ice Cream Paletas - Coconut Grove,44,5.0,1,1127.988104840534,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.732522,-80.233244",3
Starbucks,54,3.0,2,52.583769012053786,Coffee & Tea,,,"25.732522,-80.233244",3
Le Pain Quotidien,237,4.0,2,1102.411823282119,Cafes,Bakeries,Bakeries,"25.732522,-80.233244",3
The Fresh Market,196,3.5,3,303.1065556391158,Specialty Food,Grocery,Grocery,"25.732522,-80.233244",3
