Name,Locality,Popularity,Price,Rating,Category1,Category2,Category3,Latitude,Longitude,Bike_Station_Coordinates
Bombay Darbar,Miami,0.9776654769056791,2.0,9.0,Indian Restaurant,Food and Beverage Service,Dining and Drinking,25.729251,-80.240721,"25.729275,-80.241581"
Jaguar Ceviche Spoon Bar,Miami,0.9727002862494257,2.0,8.6,Latin American Restaurant,Seafood Restaurant,Dining and Drinking,25.72836,-80.242803,"25.729275,-80.241581"
Mister O1 Extraordinary Pizza,Miami,0.974255221401562,1.0,8.2,Pizzeria,,,25.72874,-80.242009,"25.729275,-80.241581"
Le Pain Quotidien,Miami,0.9530692299537054,1.0,8.6,Café,,,25.727386,-80.24262,"25.729275,-80.241581"
Harry's Pizzeria,Coconut Grove,0.9536523306357565,2.0,8.4,New American Restaurant,Pizzeria,,25.727746,-80.242118,"25.729275,-80.241581"
Le Bouchon Du Grove,Coconut Grove,0.9420256564300102,3.0,8.5,French Restaurant,,,25.727701,-80.242932,"25.729275,-80.241581"
Greenstreet Cafe,Coconut Grove,0.9869774181008587,2.0,8.9,American Restaurant,Lounge,,25.726797,-80.243987,"25.729275,-80.241581"
The Last Carrot,Miami,0.9679117927695515,1.0,8.5,Vegan and Vegetarian Restaurant,,,25.728367,-80.24406,"25.729275,-80.241581"
Lokal Burgers & Beer,Miami,0.9585998515743719,2.0,8.9,Burger Joint,Gastropub,American Restaurant,25.727692,-80.245108,"25.729275,-80.241581"
Glass & Vine,Miami,0.9672933526522246,4.0,8.5,New American Restaurant,,,25.72665,-80.241111,"25.729275,-80.241581"
Starbucks,Coconut Grove,0.9875428490652719,1.0,8.7,Coffee Shop,,,25.732614,-80.232736,"25.732522,-80.233244"
Monty's Stone Crab,Coconut Grove,0.9907410679577341,2.0,8.4,Seafood Restaurant,,,25.732221,-80.232504,"25.732522,-80.233244"
Flanigan's Seafood Bar & Grill,Coconut Grove,0.9968194508251759,2.0,9.1,Sports Bar,American Restaurant,Seafood Restaurant,25.73584,-80.238348,"25.732522,-80.233244"
Happy Wine In The Grov,Miami,0.9744142488603033,2.0,9.0,Wine Bar,Sandwich Spot,Tapas Restaurant,25.735746,-80.239347,"25.732522,-80.233244"
Bombay Darbar,Miami,0.9776654769056791,2.0,9.0,Indian Restaurant,Food and Beverage Service,Dining and Drinking,25.729251,-80.240721,"25.732522,-80.233244"
Berries,Miami,0.9781602289995406,2.0,8.8,Burger Joint,Pizzeria,New American Restaurant,25.738135,-80.238044,"25.732522,-80.233244"
Sushi Maki,Miami,0.8947768314662332,2.0,7.2,Sushi Restaurant,,,25.732283,-80.232486,"25.732522,-80.233244"
Mister O1 Extraordinary Pizza,Miami,0.974255221401562,1.0,8.2,Pizzeria,,,25.72874,-80.242009,"25.732522,-80.233244"
Kush Coconut Grove,Coconut Grove,0.9182068770541046,2.0,7.8,Advertising Agency,American Restaurant,,25.728597,-80.240619,"25.732522,-80.233244"
Pollo Tropical,Miami,0.9850690885959642,1.0,7.9,Caribbean Restaurant,Fast Food Restaurant,Mexican Restaurant,25.739022,-80.238767,"25.732522,-80.233244"
Bocas Grill Brickell,Miami Financial District,0.9835671625967417,2.0,8.7,Bar,South American Restaurant,Steakhouse,25.755457,-80.207528,"25.7511,-80.202641"
Universidad Del Caribe of Florida,Miami,,,,College and University,,,25.754113,-80.196296,"25.7511,-80.202641"
Cure Cafe,Miami,0.9200268579708096,1.0,,Café,Coffee Shop,American Restaurant,25.758288,-80.199178,"25.7511,-80.202641"
Le Café At The Santa Maria Condo On Brickell,Miami,0.9274127999434569,1.0,,Café,Tea Room,,25.755224,-80.194667,"25.7511,-80.202641"
Unicaribe College,Miami,,,,College and University,,,25.754346,-80.197775,"25.7511,-80.202641"
Miami Dade College,Miami,,,,College and University,,,25.758023,-80.200397,"25.7511,-80.202641"
Gyu-Kaku Japanese BBQ,Miami,0.9839912358200515,2.0,8.9,Japanese Restaurant,Tapas Restaurant,,25.761287,-80.19427,"25.760082,-80.196217"
PM Fish & Steak House,Miami,0.9672050040640351,4.0,9.0,Argentinian Restaurant,Seafood Restaurant,Steakhouse,25.758842,-80.193645,"25.760082,-80.196217"
Barsecco,Miami,0.9795561366929356,2.0,8.6,Lounge,Italian Restaurant,Tapas Restaurant,25.760236,-80.193309,"25.760082,-80.196217"
Coyo Taco,Miami,0.9849984097254126,,8.4,Fast Food Restaurant,Tex-Mex Restaurant,,25.762739,-80.195004,"25.760082,-80.196217"
Tutto Pizza,Miami,0.9193730784182069,1.0,8.6,Italian Restaurant,Pizzeria,,25.760451,-80.200226,"25.760082,-80.196217"
Novecento,Miami,0.9690956638512916,2.0,8.3,Argentinian Restaurant,,,25.760142,-80.192592,"25.760082,-80.196217"
"Edge, Steak & Bar",Miami,0.9549422200233241,3.0,8.6,Steakhouse,,,25.7588,-80.191655,"25.760082,-80.196217"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.760082,-80.196217"
LPM Restaurant & Bar,Miami,0.9804396225748313,4.0,9.1,French Restaurant,,,25.760455,-80.19033,"25.760082,-80.196217"
Piola Miami Brickell,Miami,0.9822772732091741,2.0,8.3,Pizzeria,Italian Restaurant,,25.762047,-80.193541,"25.760082,-80.196217"
Gyu-Kaku Japanese BBQ,Miami,0.9839912358200515,2.0,8.9,Japanese Restaurant,Tapas Restaurant,,25.761287,-80.19427,"25.761884,-80.193101"
My Ceviche,Miami,0.9436336007350603,2.0,8.2,Latin American Restaurant,Mexican Restaurant,Seafood Restaurant,25.762047,-80.193541,"25.761884,-80.193101"
Piola Miami Brickell,Miami,0.9822772732091741,2.0,8.3,Pizzeria,Italian Restaurant,,25.762047,-80.193541,"25.761884,-80.193101"
Barsecco,Miami,0.9795561366929356,2.0,8.6,Lounge,Italian Restaurant,Tapas Restaurant,25.760236,-80.193309,"25.761884,-80.193101"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.761884,-80.193101"
LPM Restaurant & Bar,Miami,0.9804396225748313,4.0,9.1,French Restaurant,,,25.760455,-80.19033,"25.761884,-80.193101"
PM Fish & Steak House,Miami,0.9672050040640351,4.0,9.0,Argentinian Restaurant,Seafood Restaurant,Steakhouse,25.758842,-80.193645,"25.761884,-80.193101"
Coyo Taco,Miami,0.9849984097254126,,8.4,Fast Food Restaurant,Tex-Mex Restaurant,,25.762739,-80.195004,"25.761884,-80.193101"
Freddo,Miami,0.9495882955790367,1.0,8.3,Café,Ice Cream Parlor,Restaurant,25.763347,-80.193345,"25.761884,-80.193101"
Latin Cafe 2000,Miami,0.9778068346467823,2.0,8.4,Cuban Restaurant,South American Restaurant,,25.76385,-80.192517,"25.761884,-80.193101"
The Capital Grille,Miami,0.9650846379474856,3.0,9.0,American Restaurant,Steakhouse,,25.769409,-80.190375,"25.768483,-80.190547"
Zuma Miami,Miami,0.9726649468141499,4.0,9.1,Sushi Restaurant,,,25.770537,-80.189542,"25.768483,-80.190547"
B Bistro + Bakery,Miami,0.9779835318231614,1.0,8.9,Bakery,American Restaurant,French Restaurant,25.767614,-80.190939,"25.768483,-80.190547"
The River Oyster Bar,Miami,0.9731596989080115,3.0,9.0,American Restaurant,Seafood Restaurant,,25.767554,-80.19353,"25.768483,-80.190547"
Fleming's Prime Steakhouse & Wine Bar,Miami,0.9644485281125208,4.0,8.7,Steakhouse,,,25.767492,-80.190974,"25.768483,-80.190547"
Truluck's,Miami,0.9864649962893592,4.0,8.9,Seafood Restaurant,,,25.7664,-80.189738,"25.768483,-80.190547"
Cantina La Veinte,Miami,0.9835848323143797,3.0,8.7,Tex-Mex Restaurant,,,25.768284,-80.188405,"25.768483,-80.190547"
Cipriani Miami Downtow,Miami,0.9858642258896703,4.0,8.7,Italian Restaurant,,,25.769073,-80.18864,"25.768483,-80.190547"
Casa Tua Cucina,Miami,0.9934798741916104,2.0,9.0,Wine Bar,"Cafe, Coffee, and Tea House",Italian Restaurant,25.767109,-80.194571,"25.768483,-80.190547"
Komodo (Miami),Miami,0.9843799696080857,4.0,8.8,Asian Restaurant,,,25.765533,-80.19044,"25.768483,-80.190547"
Gyu-Kaku Japanese BBQ,Miami,0.9839912358200515,2.0,8.9,Japanese Restaurant,Tapas Restaurant,,25.761287,-80.19427,"25.761522,-80.1967748"
Coyo Taco,Miami,0.9849984097254126,,8.4,Fast Food Restaurant,Tex-Mex Restaurant,,25.762739,-80.195004,"25.761522,-80.1967748"
Barsecco,Miami,0.9795561366929356,2.0,8.6,Lounge,Italian Restaurant,Tapas Restaurant,25.760236,-80.193309,"25.761522,-80.1967748"
PM Fish & Steak House,Miami,0.9672050040640351,4.0,9.0,Argentinian Restaurant,Seafood Restaurant,Steakhouse,25.758842,-80.193645,"25.761522,-80.1967748"
Tutto Pizza,Miami,0.9193730784182069,1.0,8.6,Italian Restaurant,Pizzeria,,25.760451,-80.200226,"25.761522,-80.1967748"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.761522,-80.1967748"
Piola Miami Brickell,Miami,0.9822772732091741,2.0,8.3,Pizzeria,Italian Restaurant,,25.762047,-80.193541,"25.761522,-80.1967748"
North Italia,Miami,0.9790437148814362,3.0,8.6,Pizzeria,Italian Restaurant,,25.765175,-80.193516,"25.761522,-80.1967748"
Stanzione 87,Miami,0.956956567834046,2.0,8.8,Pizzeria,Italian Restaurant,Mediterranean Restaurant,25.766582,-80.195063,"25.761522,-80.1967748"
My Ceviche,Miami,0.9436336007350603,2.0,8.2,Latin American Restaurant,Mexican Restaurant,Seafood Restaurant,25.762047,-80.193541,"25.761522,-80.1967748"
LPM Restaurant & Bar,Miami,0.9804396225748313,4.0,9.1,French Restaurant,,,25.760455,-80.19033,"25.7604,-80.19186"
Barsecco,Miami,0.9795561366929356,2.0,8.6,Lounge,Italian Restaurant,Tapas Restaurant,25.760236,-80.193309,"25.7604,-80.19186"
"Edge, Steak & Bar",Miami,0.9549422200233241,3.0,8.6,Steakhouse,,,25.7588,-80.191655,"25.7604,-80.19186"
Novecento,Miami,0.9690956638512916,2.0,8.3,Argentinian Restaurant,,,25.760142,-80.192592,"25.7604,-80.19186"
PM Fish & Steak House,Miami,0.9672050040640351,4.0,9.0,Argentinian Restaurant,Seafood Restaurant,Steakhouse,25.758842,-80.193645,"25.7604,-80.19186"
Gyu-Kaku Japanese BBQ,Miami,0.9839912358200515,2.0,8.9,Japanese Restaurant,Tapas Restaurant,,25.761287,-80.19427,"25.7604,-80.19186"
La Estacion Cafe,Miami,0.955348623528996,1.0,8.1,Burger Joint,Coffee Shop,Colombian Restaurant,25.760587,-80.192409,"25.7604,-80.19186"
My Ceviche,Miami,0.9436336007350603,2.0,8.2,Latin American Restaurant,Mexican Restaurant,Seafood Restaurant,25.762047,-80.193541,"25.7604,-80.19186"
Piola Miami Brickell,Miami,0.9822772732091741,2.0,8.3,Pizzeria,Italian Restaurant,,25.762047,-80.193541,"25.7604,-80.19186"
Crazy About You Restaurant,Miami,0.9810403929745203,2.0,8.4,American Restaurant,Italian Restaurant,Mediterranean Restaurant,25.761955,-80.189163,"25.7604,-80.19186"
Barsecco,Miami,0.9795561366929356,2.0,8.6,Lounge,Italian Restaurant,Tapas Restaurant,25.760236,-80.193309,"25.7603626,-80.1936702"
PM Fish & Steak House,Miami,0.9672050040640351,4.0,9.0,Argentinian Restaurant,Seafood Restaurant,Steakhouse,25.758842,-80.193645,"25.7603626,-80.1936702"
Gyu-Kaku Japanese BBQ,Miami,0.9839912358200515,2.0,8.9,Japanese Restaurant,Tapas Restaurant,,25.761287,-80.19427,"25.7603626,-80.1936702"
