latitude,longitude,bikes
25.729275,-80.241581,4
25.732522,-80.233244,4
25.7511,-80.202641,4
25.760082,-80.196217,6
25.761884,-80.193101,4
25.768483,-80.190547,5
25.761522,-80.1967748,3
25.7604,-80.19186,4
25.7603626,-80.1936702,2
25.767414,-80.199166,4
25.765769,-80.211373,4
25.779881,-80.218424,4
25.767497,-80.195732,5
25.76258,-80.193948,2
25.76589,-80.191042,4
25.771428,-80.190815,5
25.7717329,-80.1899646,3
25.7725576,-80.1921467,1
25.77369,-80.18896,4
25.7733724,-80.1920071,5
25.7870287,-80.1939982,5
25.7883347,-80.1932528,6
25.789722,-80.188952,6
25.78974,-80.18622,3
25.79274,-80.18646,6
25.794895,-80.188672,5
25.7999106,-80.19544,0
25.801,-80.18888,1
25.80533,-80.1891,5
25.7799583,-80.1955923,2
25.7984785,-80.2031538,3
25.8022384,-80.2014196,3
25.8014206,-80.1991306,6
25.8025414,-80.1948694,1
25.775986,-80.18865,2
25.775019,-80.196429,2
25.7926049,-80.1936645,0
25.747976,-80.210054,6
25.777171,-80.186888,6
25.7729842,-80.1860208,5
25.782258,-80.189191,2
25.784943,-80.18683,1
25.770155,-80.198036,3
25.755818,-80.196467,7
25.765327,-80.131324,24
25.767379,-80.135871,6
25.769435,-80.133049,10
25.769775,-80.13739,7
25.7711036,-80.1327318,4
25.770722,-80.133801,5
25.772132,-80.138313,7
25.773511,-80.139686,1
25.772677,-80.134644,0
25.774917,-80.131584,8
25.77679,-80.130943,18
25.779172,-80.130828,5
25.780759,-80.129913,11
25.78247,-80.129882,1
25.785034,-80.129455,8
25.7874891,-80.12955,5
25.776876,-80.133941,2
25.777061,-80.133155,2
25.77581,-80.135887,4
25.775684,-80.137184,5
25.774795,-80.13842,7
25.776039,-80.139648,0
25.779273,-80.140007,12
25.779413,-80.136161,13
25.778413,-80.137229,4
25.77947,-80.133392,10
25.781921,-80.133056,3
25.780853,-80.142166,10
25.782184,-80.137565,2
25.782022,-80.140846,7
25.782745,-80.142005,12
25.783657,-80.136329,11
25.784238,-80.134101,2
25.784225,-80.132476,5
25.784078,-80.130798,1
25.785306,-80.130966,5
25.786483,-80.138603,16
25.785114,-80.142562,13
25.7851581,-80.1432309,10
25.787059,-80.143547,14
25.788892,-80.143356,6
25.787298,-80.140754,1
25.787494,-80.135314,3
25.787603,-80.132049,5
25.787584,-80.130134,6
25.788726,-80.134193,2
25.790662,-80.131034,3
25.792726,-80.132148,6
25.790084,-80.133186,3
25.790149,-80.134376,11
25.789955,-80.135398,2
25.791498,-80.136695,1
25.791154,-80.137748,1
25.790727,-80.138923,0
25.7917516,-80.1400728,4
25.79034,-80.142303,6
25.791421,-80.148155,4
25.793401,-80.1444,7
25.792573,-80.134979,5
25.794751,-80.135571,8
25.792316,-80.129287,3
25.794,-80.129013,6
25.798194,-80.131951,0
25.794822,-80.139358,0
25.795501,-80.142951,3
25.79523,-80.14138,9
25.796314,-80.128517,4
25.7968314,-80.1274238,6
25.798538,-80.128341,7
25.800083,-80.127029,1
25.80087,-80.125602,10
25.802289,-80.125915,1
25.803857,-80.129386,10
25.806837,-80.125183,5
25.809047,-80.123458,1
25.812503,-80.123367,5
25.814342,-80.129203,11
25.81215,-80.135475,1
25.816658,-80.130546,3
25.816011,-80.123664,4
25.820867,-80.122314,8
25.830375,-80.122238,8
25.84666,-80.12078,4
25.85069,-80.120628,7
25.854211,-80.120712,6
25.8558358,-80.1232378,2
25.852079,-80.13755,8
25.857971,-80.125305,6
25.858234,-80.121002,6
25.861253,-80.120704,1
25.8642,-80.121223,2
25.873098,-80.122093,3
25.88108,-80.122207,0
25.8834214,-80.123717,0
25.8871218,-80.1219757,7
25.887449,-80.133323,3
25.893302,-80.132423,3
25.777514,-80.133384,1
25.790462,-80.143982,2
25.854495,-80.132502,10
25.734206,-80.230671,6
25.730382,-80.235583,6
25.835972,-80.184035,2
25.8135937,-80.1316858,5
25.8202417,-80.1876939,4
25.827261,-80.186922,3
25.813662,-80.189196,4
25.7797147,-80.1890455,4
25.7653626,-80.1949821,2
25.7674054,-80.1920305,1
25.8074771,-80.1951626,3
25.830476,-80.1920722,2
25.814942,-80.19159,2
25.8409532,-80.1839999,2
25.8033602,-80.1920503,5
25.8047295,-80.1246196,11
25.8561371,-80.1447683,1
25.7910019,-80.1424965,3
25.7851991,-80.140549,4
25.7975825,-80.132518,1
25.77613,-80.19422,1
25.77662,-80.14191,2
