name,review_count,rating,price,distance,category_1,category_2,category_3,yelp_bike_station_coordinates
Asian Thai Kitchen,237,4.0,$$,280.0482582434025,Food Delivery Services,Thai,Thai,"25.729275,-80.241581"
Loretta & The Butcher,224,4.5,$$$,343.3985048998288,Argentine,Breakfast & Brunch,Breakfast & Brunch,"25.729275,-80.241581"
Fireman Derek’s Bake Shop,254,4.5,$$,257.37049040741374,Desserts,Bakeries,Bakeries,"25.729275,-80.241581"
Le Pain Quotidien,237,4.0,$$,237.89885093636394,Cafes,Bakeries,Bakeries,"25.729275,-80.241581"
Salt and Straw,160,4.5,$$,115.21916941862362,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.729275,-80.241581"
Morelia Ice Cream Paletas - Coconut Grove,44,5.0,$,257.71287453235595,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.729275,-80.241581"
The Last Carrot,302,4.0,$$,260.38800306376504,Vegetarian,Juice Bars & Smoothies,Juice Bars & Smoothies,"25.729275,-80.241581"
Bianco Gelato,288,4.5,$$,334.8115888077702,Gelato,Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt,"25.729275,-80.241581"
Panther Coffee,227,4.0,$$,194.89183300423252,Coffee & Tea,Coffee Roasteries,Coffee Roasteries,"25.729275,-80.241581"
Oasis Lounge and Hookah Bar,126,3.0,$$,177.8447951370133,Hookah Bars,"Beer, Wine & Spirits","Beer, Wine & Spirits","25.729275,-80.241581"
Juicense,137,3.5,$$,175.87858299429428,Juice Bars & Smoothies,Organic Stores,Organic Stores,"25.729275,-80.241581"
Coconut Grove Saturday Organic Market,168,4.0,$$,552.3507177980675,Farmers Market,Vegan,Vegan,"25.729275,-80.241581"
Suite Habana Cafe,203,5.0,$$,9336.798391574086,Coffee & Tea,Bakeries,Bakeries,"25.729275,-80.241581"
Nacho Bizness,135,4.5,$,15237.581061121673,Food Trucks,Tacos,Tacos,"25.729275,-80.241581"
Santo Dulce Churros,202,4.5,$$,9873.560334270176,Desserts,Food Trucks,Food Trucks,"25.729275,-80.241581"
Walt Grace Vintage,72,5.0,$$$$,8968.471486814966,Guitar Stores,Car Dealers,Car Dealers,"25.729275,-80.241581"
Milam's Market,123,4.0,$$,885.2403109842379,Grocery,,,"25.729275,-80.241581"
Wynwood Art Walk Block Party,84,4.5,$,8804.460652688625,Art Galleries,Food Trucks,Food Trucks,"25.729275,-80.241581"
Ceviche Bowl,33,5.0,$$,18468.24472683102,Food Trucks,Seafood,Seafood,"25.729275,-80.241581"
The Fresh Market,196,3.5,$$$,706.479453676596,Specialty Food,Grocery,Grocery,"25.729275,-80.241581"
Asian Thai Kitchen,237,4.0,$$,1188.9237994625933,Food Delivery Services,Thai,Thai,"25.732522,-80.233244"
Salt and Straw,160,4.5,$$,973.6227307558484,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.732522,-80.233244"
Fireman Derek’s Bake Shop,254,4.5,$$,1130.3258951631697,Desserts,Bakeries,Bakeries,"25.732522,-80.233244"
Morelia Ice Cream Paletas - Coconut Grove,44,5.0,$,1127.988104840534,Ice Cream & Frozen Yogurt,Desserts,Desserts,"25.732522,-80.233244"
Starbucks,54,3.0,$$,52.583769012053786,Coffee & Tea,,,"25.732522,-80.233244"
Le Pain Quotidien,237,4.0,$$,1102.411823282119,Cafes,Bakeries,Bakeries,"25.732522,-80.233244"
The Fresh Market,196,3.5,$$$,303.1065556391158,Specialty Food,Grocery,Grocery,"25.732522,-80.233244"
A.C.'s Icees,155,4.5,$,603.9240759727403,Food Trucks,Juice Bars & Smoothies,Juice Bars & Smoothies,"25.732522,-80.233244"
Suite Habana Cafe,203,5.0,$$,8622.912568950762,Coffee & Tea,Bakeries,Bakeries,"25.732522,-80.233244"
Nacho Bizness,135,4.5,$,14575.446815765645,Food Trucks,Tacos,Tacos,"25.732522,-80.233244"
Panther Coffee,227,4.0,$$,1066.08584479304,Coffee & Tea,Coffee Roasteries,Coffee Roasteries,"25.732522,-80.233244"
Walt Grace Vintage,72,5.0,$$$$,8290.567619050616,Guitar Stores,Car Dealers,Car Dealers,"25.732522,-80.233244"
Santo Dulce Churros,202,4.5,$$,9138.685801114583,Desserts,Food Trucks,Food Trucks,"25.732522,-80.233244"
Wynwood Art Walk Block Party,84,4.5,$,8101.301641396303,Art Galleries,Food Trucks,Food Trucks,"25.732522,-80.233244"
Ceviche Bowl,33,5.0,$$,19376.199375215365,Food Trucks,Seafood,Seafood,"25.732522,-80.233244"
Fly Buy,49,4.5,$,733.9912060969036,Convenience Stores,"Beer, Wine & Spirits","Beer, Wine & Spirits","25.732522,-80.233244"
La Burguesa,20,5.0,$$,19126.6917629159,Hot Dogs,Burgers,Burgers,"25.732522,-80.233244"
HipPOPs,149,4.5,$,36073.859258811965,Food Trucks,Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt,"25.732522,-80.233244"
Reggae Beets Gourmet Food Truck,61,5.0,$,44792.8584547093,Juice Bars & Smoothies,Food Trucks,Food Trucks,"25.732522,-80.233244"
Befit Nutrition,50,4.5,$$,19714.017317842623,Food Delivery Services,,,"25.732522,-80.233244"
Asian Thai Kitchen,237,4.0,$$,4873.30449350108,Food Delivery Services,Thai,Thai,"25.7511,-80.202641"
Cure Cafe,67,4.0,$,855.7738353448708,Juice Bars & Smoothies,Cafes,Cafes,"25.7511,-80.202641"
Vizcaya Museum Gift Shop & Cafe,30,4.0,$$,1082.9708353299013,Gift Shops,Cafes,Cafes,"25.7511,-80.202641"
Munch Thyme,37,5.0,$,37149.50437533189,Food Delivery Services,,,"25.7511,-80.202641"
Bocaditos Meals,2,5.0,$,23104.653209873897,Food Delivery Services,Caterers,Caterers,"25.7511,-80.202641"
Designer Sweets,1,5.0,$$,666.0439558427285,Cupcakes,Desserts,Desserts,"25.7511,-80.202641"
Poke 305,211,4.0,$$,359.7539187237153,Hawaiian,Poke,Poke,"25.760082,-80.196217"
B Bistro + Bakery,1047,4.5,$$,977.1120097417177,Bakeries,Breakfast & Brunch,Breakfast & Brunch,"25.760082,-80.196217"
True Baristas Coffee,94,4.5,$$,359.70726745485666,Coffee & Tea,Food Trucks,Food Trucks,"25.760082,-80.196217"
The Henry,57,4.0,$$$,796.889383464939,American (New),Coffee & Tea,Coffee & Tea,"25.760082,-80.196217"
La Sandwicherie Brickell,740,4.0,$$,697.4193930738176,Sandwiches,French,French,"25.760082,-80.196217"
Cure Cafe,67,4.0,$,362.0953449655555,Juice Bars & Smoothies,Cafes,Cafes,"25.760082,-80.196217"
Atelier Monnier Brickell Cafe,308,4.0,$$,734.4908266400016,Bakeries,Breakfast & Brunch,Breakfast & Brunch,"25.760082,-80.196217"
Asian Thai Kitchen,237,4.0,$$,5967.469890134709,Food Delivery Services,Thai,Thai,"25.760082,-80.196217"
Suite Habana Cafe,203,5.0,$$,4655.721554804639,Coffee & Tea,Bakeries,Bakeries,"25.760082,-80.196217"
Vale Food Co,34,4.5,$$,639.6024771839682,American (New),Acai Bowls,Acai Bowls,"25.760082,-80.196217"
La Estacion Cafe,131,3.5,$,362.10455505897005,Coffee & Tea,Colombian,Colombian,"25.760082,-80.196217"
Sproutz - Brickell,71,4.0,$$,505.56438418262695,Juice Bars & Smoothies,Burgers,Burgers,"25.760082,-80.196217"
Raw Jūce - Brickell,158,4.5,$$,617.750276675657,Juice Bars & Smoothies,Acai Bowls,Acai Bowls,"25.760082,-80.196217"
Oriental Bakery & Grocery Co,104,4.5,$,457.72073710251783,Bakeries,Middle Eastern,Middle Eastern,"25.760082,-80.196217"
Incredible Kettle Corn,7,5.0,$,109.90889434858852,Street Vendors,Popcorn Shops,Popcorn Shops,"25.760082,-80.196217"
Puroast Coffee,224,4.5,$$,887.7434532270362,Coffee & Tea,,,"25.760082,-80.196217"
Stefano Versace Gelato Bistro Café,55,4.0,$$,603.730712825023,Gelato,Coffee & Tea,Coffee & Tea,"25.760082,-80.196217"
Toasted Bagelry & Deli,580,3.5,$$,725.1352474142568,Bagels,Delis,Delis,"25.760082,-80.196217"
Friend's Market and Bistro,353,3.5,$$,1042.182594464993,Pizza,Burgers,Burgers,"25.760082,-80.196217"
Roy de France,67,4.5,$$,833.289383440169,Candy Stores,Gelato,Gelato,"25.760082,-80.196217"
Poke 305,211,4.0,$$,62.89487010669363,Hawaiian,Poke,Poke,"25.761884,-80.193101"
B Bistro + Bakery,1047,4.5,$$,660.8396013668723,Bakeries,Breakfast & Brunch,Breakfast & Brunch,"25.761884,-80.193101"
Atelier Monnier Brickell Cafe,308,4.0,$$,393.3929611732983,Bakeries,Breakfast & Brunch,Breakfast & Brunch,"25.761884,-80.193101"
True Baristas Coffee,94,4.5,$$,66.23035042920714,Coffee & Tea,Food Trucks,Food Trucks,"25.761884,-80.193101"
Vale Food Co,34,4.5,$$,379.32507191684755,American (New),Acai Bowls,Acai Bowls,"25.761884,-80.193101"
The Henry,57,4.0,$$$,531.565092978284,American (New),Coffee & Tea,Coffee & Tea,"25.761884,-80.193101"
La Sandwicherie Brickell,740,4.0,$$,468.4022775058229,Sandwiches,French,French,"25.761884,-80.193101"
Sproutz - Brickell,71,4.0,$$,307.76020043540416,Juice Bars & Smoothies,Burgers,Burgers,"25.761884,-80.193101"
Crema Gourmet Espresso Bar - Brickell,68,3.5,$$,285.8284247145484,Breakfast & Brunch,Coffee & Tea,Coffee & Tea,"25.761884,-80.193101"
El Cielo by Juan Manuel Barrientos,240,4.0,$$$$,851.4815166645724,Colombian,American (New),American (New),"25.761884,-80.193101"
La Estacion Cafe,131,3.5,$,144.87740124884326,Coffee & Tea,Colombian,Colombian,"25.761884,-80.193101"
Raw Jūce - Brickell,158,4.5,$$,400.2263544806663,Juice Bars & Smoothies,Acai Bowls,Acai Bowls,"25.761884,-80.193101"
Stefano Versace Gelato Bistro Café,55,4.0,$$,335.91819716623087,Gelato,Coffee & Tea,Coffee & Tea,"25.761884,-80.193101"
Freddo,139,3.5,$$,165.53763504045955,Desserts,Gelato,Gelato,"25.761884,-80.193101"
Suite Habana Cafe,203,5.0,$$,4456.762827146789,Coffee & Tea,Bakeries,Bakeries,"25.761884,-80.193101"
Aficionado's Brickell,42,4.0,$$,284.22859999401356,Tobacco Shops,"Beer, Wine & Spirits","Beer, Wine & Spirits","25.761884,-80.193101"
Asian Thai Kitchen,237,4.0,$$,6337.497731375189,Food Delivery Services,Thai,Thai,"25.761884,-80.193101"
Greenlife Organic Bowls,148,4.0,$$,439.09151174405974,Juice Bars & Smoothies,Cafes,Cafes,"25.761884,-80.193101"
Rosetta Bakery,95,3.5,$$,441.38253637658255,Bakeries,Coffee & Tea,Coffee & Tea,"25.761884,-80.193101"
